
[5 rows x 21 columns]
         848854489 function calls (835604717 primitive calls) in 803.907 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 __init__.py:9(<module>)
      432    0.002    0.000    0.010    0.000 __init__.py:9(__new__)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6230(refer_to_array_attribute)
        1    0.000    0.000    0.035    0.035 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:17(numeric_type_aliases)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(type_aliases_gen)
       24    0.000    0.000    0.025    0.001 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
       34    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:61(<genexpr>)
       39    0.000    0.000    0.024    0.001 _add_newdocs_scalars.py:62(<genexpr>)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
      488    0.002    0.000    0.002    0.000 _asarray.py:111(<setcomp>)
      488    0.005    0.000    0.008    0.000 _asarray.py:22(require)
        1    0.000    0.000    0.013    0.013 _base.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _base.py:1007(<genexpr>)
        1    0.000    0.000  119.234  119.234 _base.py:1022(close)
        1    0.000    0.000    0.002    0.002 _base.py:1039(inspect_excel_format)
        5    0.000    0.000    0.000    0.000 _base.py:1083(<genexpr>)
        1    0.000    0.000    0.000    0.000 _base.py:1094(<listcomp>)
        1    0.000    0.000    0.003    0.003 _base.py:1105(ExcelFile)
        1    0.000    0.000    0.564    0.564 _base.py:1166(__init__)
        1    0.000    0.000   10.351   10.351 _base.py:1238(parse)
        2    0.000    0.000    0.000    0.000 _base.py:1303(close)
        1    0.000    0.000    0.000    0.000 _base.py:1313(__del__)
        1    0.000    0.000   10.916   10.916 _base.py:330(read_excel)
        1    0.000    0.000    0.000    0.000 _base.py:404(BaseExcelReader)
        1    0.000    0.000    0.035    0.035 _base.py:405(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:440(close)
        1    0.000    0.000    0.000    0.000 _base.py:465(raise_if_bad_sheet_by_index)
        1    0.002    0.002   10.351   10.351 _base.py:476(parse)
        1    0.000    0.000    0.000    0.000 _base.py:645(ExcelWriter)
        1    0.000    0.000    0.001    0.001 _base.py:796(__new__)
        1    0.000    0.000    0.040    0.040 _base.py:898(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:956(_get_sheet_name)
  3565187    2.546    0.000    3.705    0.000 _base.py:963(_value_with_fmt)
        1    0.000    0.000    0.000    0.000 _base.py:997(check_extension)
        2    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _chart.py:27(AxId)
        1    0.000    0.000    0.024    0.024 _chart.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _chart.py:40(ChartBase)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:262(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:280(__iter__)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:283(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:362(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:381(__subclasshook__)
       44    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:760(get)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:767(__contains__)
       11    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        1    0.000    0.000    0.000    0.000 _color_data.py:7(<module>)
        2    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _common.py:13(tzname_in_python2)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
        1    0.000    0.000    0.000    0.000 _common.py:149(_tzinfo)
        1    0.000    0.000    0.000    0.000 _common.py:267(tzrangebase)
        1    0.000    0.000    0.000    0.000 _common.py:6(weekday)
        7    0.000    0.000    0.000    0.000 _common.py:9(__init__)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       86    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _constants.py:3(<module>)
        1    0.000    0.000    0.002    0.002 _core.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _core.py:620(PlotAccessor)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:196(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:536(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:74(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:99(__init__)
        1    0.000    0.000    0.070    0.070 _decorators.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _decorators.py:165(_deprecate_kwarg)
        1    0.000    0.000    0.001    0.001 _decorators.py:18(deprecate)
   182794    0.278    0.000    0.312    0.000 _decorators.py:214(_format_argument_list)
        2    0.000    0.000    0.000    0.000 _decorators.py:248(<genexpr>)
       42    0.000    0.000    0.000    0.000 _decorators.py:252(future_version_msg)
       42    0.000    0.000    0.000    0.000 _decorators.py:260(deprecate_nonkeyword_arguments)
       42    0.000    0.000    0.001    0.000 _decorators.py:286(decorate)
182794/182764    0.560    0.000   76.060    0.000 _decorators.py:302(wrapper)
        3    0.000    0.000    0.000    0.000 _decorators.py:318(rewrite_axis_style_signature)
        3    0.000    0.000    0.000    0.000 _decorators.py:321(decorate)
    55249    0.128    0.000   21.405    0.000 _decorators.py:322(wrapper)
      235    0.000    0.000    0.000    0.000 _decorators.py:348(doc)
      235    0.001    0.000    0.018    0.000 _decorators.py:368(decorator)
      835    0.001    0.000    0.008    0.000 _decorators.py:387(<genexpr>)
        1    0.000    0.000    0.000    0.000 _decorators.py:407(Substitution)
       57    0.000    0.000    0.000    0.000 _decorators.py:436(__init__)
       57    0.000    0.000    0.000    0.000 _decorators.py:442(__call__)
        1    0.000    0.000    0.000    0.000 _decorators.py:454(Appender)
      161    0.000    0.000    0.000    0.000 _decorators.py:476(__init__)
      161    0.000    0.000    0.020    0.000 _decorators.py:483(__call__)
        3    0.000    0.000    0.000    0.000 _decorators.py:491(indent)
        7    0.000    0.000    0.000    0.000 _decorators.py:93(deprecate_kwarg)
        1    0.000    0.000    0.014    0.014 _distributor_init.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
     5012    0.003    0.000    0.007    0.000 _dtype.py:178(_datetime_metadata_str)
   726300    0.415    0.000    0.415    0.000 _dtype.py:24(_kind_name)
   726284    0.386    0.000    0.411    0.000 _dtype.py:307(_name_includes_bit_suffix)
   726284    2.049    0.000    3.072    0.000 _dtype.py:321(_name_get)
     4908    0.008    0.000    0.043    0.000 _dtype.py:34(__str__)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
